Date,Author,Text,Likes,Retweets
2025-06-16 13:41:11+00:00,1658555682910793728,"Open rent neobong / lightstick NCT  Konser / Concert TDS 4 NCT DREAM / The Dream Show 4

 💵 150k 

Only Dom Cirebon dan Sekitarnya, COD di Grage/CSB

*untuk hal lain nya DM ajaaa

Tag wtr want to rent sewa ls lightstick nct dream nct 127 nct https://t.co/9zcSNanO7i",0,0
2025-06-16 13:41:09+00:00,1867539762942275584,"@RealE_Money1 As an okada rider, rent and bike repairs swallow my earnings, trapping me in poverty. This help could clear my rent burden. Please, I’m begging for a lifeline to breathe again. #JidePomary",0,0
2025-06-16 13:41:07+00:00,426005431,@billybadazz7777 @MoBanshoFinn @Jo_sf_ @wsgkamvas @brndxix Gotta get out and make a name for yourself not sign a paper for rent 🤡,0,0
2025-06-16 13:41:06+00:00,1548468500749959169,"@RealE_Money1 Pay rent
#JidePomary",0,0
2025-06-16 13:41:05+00:00,1918725152876957696,@Mazitundeeednut #JidePomary if i see this money eh I will be very happy because I will use it to pay rent that has been troubling me,0,0
2025-06-16 13:40:59+00:00,1922984053923336192,Rent #JidePomary,0,0
2025-06-16 13:40:59+00:00,1400035126541684736,@Kevin_Maguire Starmer likes being sucked apparently. Ask the Ukrainian rent boys…🤣,0,0
2025-06-16 13:40:59+00:00,1899489525035864064,@Mazitundeeednut House rent boss #jidepomary,0,0
2025-06-16 13:40:58+00:00,1867539762942275584,"@Mazitundeeednut As an okada rider, rent and bike repairs swallow my earnings, trapping me in poverty. This assistance could clear my rent burden. Please, I’m begging for a lifeline to breathe again. #JidePomary",0,0
2025-06-16 13:40:49+00:00,1605476095326822400,@Mazitundeeednut HOUSE RENT #JidePomary,0,0
2025-06-16 13:40:44+00:00,1657741391936606208,Need LinkedIn accounts for rent,0,0
2025-06-16 13:40:37+00:00,1822384302098665472,"@RealE_Money1 #JidePomary 200k will save from shame sir,
Please sir I really need this please sir 🙏🙏 My house rent is long overdue sir and my landlord is on my neck 
Please save me from shame and reproach sir 
I sell okiririka but business has been bad. Sir I have been active
FCMB 1014455872",0,0
2025-06-16 13:40:35+00:00,1552676841122680832,"@Mazitundeeednut My house rent and baby stuff for my oncoming baby please 
#JidePomary
Opay 
9058057262",0,0
2025-06-16 13:40:34+00:00,1684332978032222209,@RealE_Money1 Pay rent  8139336111 Opay #jidepomary,0,0
2025-06-16 13:40:32+00:00,1929661781150257153,People forget that finance is a game where you control your house and the rent is always due,0,0
2025-06-16 13:40:31+00:00,1827128970967412736,"@Naija_PR These are the people that make some of the Ghanaians treat them badly.
Some landlords in Ghana won’t rent out their properties to Nigerians coz of this issues , yahoo , robbery and drugs trafficking.",0,0
2025-06-16 13:40:30+00:00,4833517343,"@RealE_Money1 Help me with rent please, I have limited time so

#JidePomary",0,0
2025-06-16 13:40:29+00:00,1520617003,"You “NO Kings” rent a mobs do you remember when your tyrant leaders locked us down in our homes couldn’t go church, school,Dinner,concerts,weddings, Funerals,graduations, work from home, our LOVED ONES DIED ALONE. We were Forced to wear masks,get jab https://t.co/weOphvTcUX",0,0
2025-06-16 13:40:25+00:00,1579839266850471941,"@Mazitundeeednut #JidePomary I need the 200,000 money for  my house rent it's due. Please help me on it Sir. 
Opay 
7084082281
Harrison Ugochukwu",0,0
2025-06-16 13:40:16+00:00,1596087779179597824,@HistoryBro1 at this point Id be shocked if any Rightoid rent-a-bot didnt look like this,0,0
2025-06-16 13:40:16+00:00,1778947193564450816,"@Seasons62198377 @simpleman5988 ""Rent Gillette Stadium."" 
Even FKR can't raise the money Kraft would want. 
And by the way, Dina, that stadium happens to be used in October.",0,0
2025-06-16 13:40:16+00:00,2465179108,"@rentaccounts Please help.
I paid $125 to rent a Google account, but the request was not accepted.
RT4073434865",0,0
2025-06-16 13:40:15+00:00,596352921,@blueflamedfox @M1das_OW2 @unburdenedman 12 hours and I am still rent free in her head. You know you've done serious damage when someone's THAT dedicated to the cause. The boot must fit. Wonder if she's on a list. Told yall Republicans are gross and weird lol,0,0
2025-06-16 13:40:15+00:00,1899489525035864064,@Mazitundeeednut I need it for my house rent boss,0,0
2025-06-16 13:40:13+00:00,1883324727370063872,"@twizocoins good luck to the winners, btw i'd rather not play a game where the prize is less than my average monthly rent",0,0
2025-06-16 13:40:10+00:00,1600722768047112192,@atensnut It’s amazing how much this man lives rent free in the heads of so many MAGA morons.,1,0
2025-06-16 13:40:09+00:00,1605476095326822400,@RealE_Money1 PAY RENT SIR #JidePomary,0,0
2025-06-16 13:40:04+00:00,880848567329488897,"@Mazitundeeednut Pls sir help me! my business is down since my big gen damaged over 3moths and i really need a new 8000kva big gen for my business bc No light in our area.  I can't pay our house rent, utilities bills and my landlord is on my neck! pls sir! #JidePomary",0,0
2025-06-16 13:39:55+00:00,1906226612380553216,@RealE_Money1 Pay rent #JidePomary,0,0
2025-06-16 13:39:52+00:00,1886913426460442624,@RealE_Money1 To pay my rent Boss #JidePomary,0,0
